article_link,headline,is_sarcastic
https://www.huffingtonpost.com/entry/versace-black...,this product is bad,0
https://www.huffingtonpost.com/entry/roseanne-revi...,worst hai ye product,0
https://local.theonion.com/mom-starting-to-fear-so...,very awesome great to use,1
https://politics.theonion.com/boehner-just-wants-w...,extraordinary,1
https://www.huffingtonpost.com/entry/jk-rowling-wi...,useless product,0
https://www.huffingtonpost.com/entry/advancing-the...,expected a better product,0
https://www.huffingtonpost.com/entry/how-meat-is-g...,worth the money,1
https://www.huffingtonpost.com/entry/boxed-college...,great product,1
https://politics.theonion.com/top-snake-handler-le...,mind-blowing purchase,1
https://www.huffingtonpost.com/entry/fridays-morni...,highly recommended,1
https://www.huffingtonpost.com/entry/airline-passe...,brilliant,1
https://www.huffingtonpost.com/entry/facebook-heal...,classy product,1
https://www.huffingtonpost.comhttp://www.theguardi...,must buy!,1
https://www.huffingtonpost.com/entry/jeffrey-lord-...,fabulous!,1
https://www.huffingtonpost.com/entry/barcelona-ref...,worth every penny,1
https://entertainment.theonion.com/nuclear-bomb-de...,super!,1
https://www.theonion.com/cosby-lawyer-asks-why-acc...,great product,1
https://www.theonion.com/stock-analysts-confused-f...,awesome,1
https://www.huffingtonpost.com/entry/bloomberg-phi...,worth every penny,1
https://www.huffingtonpost.com/entry/craig-hicks-i...,just wow!,1
https://local.theonion.com/courtroom-sketch-artist...,awesome,1
https://politics.theonion.com/trump-assures-nation...,terrific purchase,1
https://www.huffingtonpost.com/entry/qatar-dutch-w...,excellent,1
https://www.huffingtonpost.comhttp://pubx.co/dnWZe...,worth every penny,1
https://www.huffingtonpost.com/entry/ted-cruz-repu...,terrific,1
https://www.huffingtonpost.com/entry/why-writers-m...,awesome,1
https://www.huffingtonpost.com/entry/obama-veteran...,simply awesome,1
https://local.theonion.com/ex-con-back-behind-bar-...,wonderful,1
https://www.theonion.com/after-careful-considerati...,terrific,1
https://www.huffingtonpost.com/entry/remembrance-i...,expected a better product,0
https://www.huffingtonpost.com/entry/nemtsov-killi...,excellent,1
https://www.huffingtonpost.com/entry/gillian-jacob...,terrific purchase,1
https://www.huffingtonpost.com/entry/uber-repay-ny...,wonderful,1
https://www.huffingtonpost.com/entry/apple-may-hav...,wonderful,1
https://www.huffingtonpost.com/entry/drug-resistan...,good quality product,1
https://www.huffingtonpost.com/entry/if-you-see-a-...,awesome,1
https://www.theonion.com/giant-altoid-heading-towa...,excellent,1
https://www.huffingtonpost.com/entry/moana-box-off...,great product,1
https://www.huffingtonpost.com/entry/bud-selig-bas...,highly recommended,1
https://entertainment.theonion.com/robin-williams-...,awesome,1
